MSLINK,COUNTY_NAM,FIPS_COUNT,Donate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,TOTAL,Troop,NAME,POP_2017,LONGITUDE,LATITUDE,Rate
1,ADAMS,1,8,617,627,626,711,675,685,694,670,671,623,6599,H,Adams,105243,-77.22250366,39.8720003,62.70250753
2,ALLEGHENY,3,,1519,1676,1639,1649,1708,1720,1733,1653,1713,1654,16664,B,Allegheny,1236649,-79.98639679,40.46728742,13.47512512
3,ARMSTRONG,5,,425,413,407,490,415,404,392,397,371,391,4105,D,Armstrong,67100,-79.4733963,40.81503037,61.17734724
4,BEAVER,7,,380,357,347,306,313,344,297,336,379,403,3462,D,Beaver,168656,-80.3513031,40.68342746,20.52698985
5,BEDFORD,9,,621,687,640,633,626,714,679,728,825,720,6873,G,Bedford,49255,-78.49140167,40.007293,139.5391331
6,BERKS,11,22,1014,1103,1075,1136,1150,1226,1237,1212,1163,1119,11435,L,Berks,420834,-75.93109894,40.41930296,27.17223418
7,BLAIR,13,,399,399,403,420,391,426,440,457,511,508,4354,G,Blair,126399,-78.34929657,40.48548003,34.44647505
8,BRADFORD,15,,622,703,629,544,512,487,445,465,468,455,5330,P,Bradford,61736,-76.51860046,41.79110319,86.33536348
9,BUCKS,17,,765,837,788,705,797,818,831,890,948,895,8274,M,Bucks,635355,-75.11329651,40.33490641,13.02264089
10,BUTLER,19,,840,862,896,1010,967,872,907,928,954,838,9074,D,Butler,192150,-79.91729736,40.91076846,47.22352329
11,CAMBRIA,21,,315,335,278,271,305,247,293,306,317,320,2987,A,Cambria,136092,-78.71920013,40.49120485,21.94838786
12,CAMERON,23,,61,65,53,55,55,40,38,56,53,42,518,F,Cameron,4672,-78.20939636,41.43874015,110.8732877
13,CARBON,25,1,413,395,385,402,389,419,417,432,470,443,4165,N,Carbon,64340,-75.71140289,40.9192781,64.73422443
14,CENTRE,27,5,587,681,612,650,605,680,598,613,604,599,6229,G,Centre,166313,-77.82530212,40.91924926,37.45347628
15,CHESTER,29,1,1469,1570,1431,1500,1563,1660,1608,1530,1593,1450,15374,J,Chester,526546,-75.75659943,39.97476534,29.19782887
16,CLARION,31,,435,414,434,461,400,397,368,361,397,391,4058,C,Clarion,39311,-79.42510223,41.19272798,103.2281041
17,CLEARFIELD,33,,615,600,612,591,527,521,528,595,570,531,5690,C,Clearfield,81843,-78.47579956,41.00036709,69.52335569
18,CLINTON,35,,301,324,330,324,340,306,290,309,293,297,3114,F,Clinton,39461,-77.64309692,41.23279675,78.91335749
19,COLUMBIA,37,,286,271,234,208,245,235,232,291,239,242,2483,N,Columbia,67324,-76.41040039,41.04903604,36.88134989
20,CRAWFORD,39,,604,626,606,700,601,574,670,641,659,634,6315,E,Crawford,86977,-80.11340332,41.68541382,72.60540143
21,CUMBERLAND,41,57,958,985,971,1011,938,1077,1191,1024,1148,1091,10394,H,Cumberland,256177,-77.26899719,40.16750946,40.57350972
22,DAUPHIN,43,545,1099,1223,1170,1183,1200,1303,1361,1437,1471,1388,12835,H,Dauphin,277575,-76.7798996,40.41965692,46.23975502
23,DELAWARE,45,1,1088,1215,1122,1103,1155,1373,1323,1395,1346,1356,12476,K,Delaware,569245,-75.40660095,39.91646699,21.91674938
24,ELK,47,,151,189,159,183,184,163,190,166,174,168,1727,C,Elk,30836,-78.64969635,41.42813271,56.00596705
25,ERIE,49,,1118,1118,988,1090,1116,1140,1056,963,929,1018,10536,E,Erie,278357,-80.04100037,41.99408102,37.85067378
26,FAYETTE,51,,912,886,948,962,970,1019,930,1018,1042,862,9549,B,Fayette,135368,-79.65209961,39.91937295,70.54104367
27,FOREST,53,,85,70,85,83,68,54,70,59,71,68,713,C,Forest,7497,-79.23799896,41.513517,95.10470855
28,FRANKLIN,55,3,914,950,976,927,964,1059,1045,1002,1056,1103,9996,H,Franklin,156010,-77.72429657,39.92777178,64.07281585
29,FULTON,57,,263,278,280,282,244,264,226,246,273,274,2630,G,Fulton,15094,-78.11509705,39.92478759,174.2414204
30,GREENE,59,,322,329,350,312,311,324,309,292,363,347,3259,B,Greene,37681,-80.22969818,39.85472669,86.48921207
31,HUNTINGDON,61,,324,363,335,343,319,359,361,388,317,353,3462,G,Huntingdon,45875,-77.98300171,40.41603224,75.46594005
32,INDIANA,63,,713,696,673,694,683,645,610,600,653,623,6590,A,Indiana,87428,-79.09359741,40.65288818,75.37630965
33,JEFFERSON,65,,363,378,369,437,360,389,381,382,366,332,3757,C,Jefferson,44615,-79.001297,41.13132722,84.20934663
34,JUNIATA,67,1,239,248,253,286,259,285,287,275,263,289,2684,G,Juniata,25156,-77.40609741,40.53424972,106.694228
35,LACKAWANNA,69,,589,586,580,535,557,577,622,586,643,640,5915,R,Lackawanna,216575,-75.61250305,41.43901887,27.31155489
36,LANCASTER,71,93,919,1059,853,810,829,883,937,894,998,964,9146,J,Lancaster,549061,-76.25170135,40.04580904,16.65752986
37,LAWRENCE,73,,296,286,271,302,313,298,289,286,310,292,2943,D,Lawrence,88566,-80.33779907,40.99318923,33.229456
38,LEBANON,75,101,487,528,513,529,481,531,492,559,614,531,5265,L,Lebanon,141970,-76.46209717,40.36750626,37.08529971
39,LEHIGH,77,,1408,1468,1463,1488,1516,1479,1507,1613,1637,1636,15215,M,Lehigh,367753,-75.60140228,40.61455161,41.37287799
40,LUZERNE,79,,1032,1027,1072,970,1067,1215,1121,1117,1093,1020,10734,P,Luzerne,320238,-75.99230194,41.17828234,33.51882038
